E
-0.438014421587430E+06
-0.438015082875838E+06
-0.438015317632571E+06
-0.438015084810040E+06
-0.438014607333160E+06
-0.438014096511713E+06
-0.438013688279300E+06
-0.438013436240426E+06
-0.438013328926396E+06
-0.438013303212576E+06
-0.438013280713287E+06
-0.438013287499344E+06
-0.438013542128635E+06
-0.438014132645350E+06
-0.438014801984957E+06
-0.438015274539760E+06
-0.438015464234105E+06
-0.438015399665980E+06
-0.438015161660490E+06
-0.438014865953008E+06
-0.438014616525666E+06
-0.438014466701325E+06
-0.438014413584812E+06
-0.438014422332329E+06
-0.438014504622263E+06
-0.438014809566781E+06
-0.438015401589443E+06
-0.438016001417348E+06
-0.438016307418702E+06
-0.438016259291300E+06
-0.438015913674772E+06
-0.438015391685654E+06
-0.438014847435117E+06
-0.438014432018149E+06
-0.438014220277897E+06
-0.438014077757306E+06
-0.438013737017548E+06
-0.438013383923310E+06
-0.438013647552195E+06
-0.438014214995352E+06
-0.438014499143255E+06
-0.438014540941947E+06
-0.438014463832628E+06
-0.438014281562290E+06
-0.438014016397490E+06
-0.438013739588949E+06
-0.438013549913935E+06
-0.438013515542277E+06
-0.438013622621298E+06
-0.438013841055355E+06
-0.438014260694513E+06
-0.438014836130450E+06
-0.438015225980074E+06
-0.438015277308316E+06
-0.438015105011770E+06
-0.438014888084734E+06
-0.438014758221482E+06
-0.438014768229940E+06
-0.438014901696202E+06
-0.438015081642433E+06
-0.438015161912314E+06
-0.438014994846537E+06
-0.438014653339952E+06
-0.438014561446002E+06
-0.438014887891390E+06
-0.438015316027517E+06
-0.438015714824921E+06
-0.438016134729764E+06
-0.438016592587863E+06
-0.438017040343711E+06
-0.438017372042284E+06
-0.438017493348618E+06
-0.438017364420049E+06
-0.438016986698476E+06
-0.438016456845539E+06
-0.438016026359153E+06
-0.438015939513111E+06
-0.438016162389550E+06
-0.438016444598777E+06
-0.438016629853137E+06
-0.438016718459813E+06
-0.438016745438064E+06
-0.438016736288591E+06
-0.438016661331966E+06
-0.438016446242331E+06
-0.438016057693101E+06
-0.438015593945700E+06
-0.438015244770479E+06
-0.438015141609973E+06
-0.438015237936078E+06
-0.438015497467862E+06
-0.438015898734692E+06
-0.438016350054460E+06
-0.438016719593953E+06
-0.438016927149777E+06
-0.438016955260805E+06
-0.438016846751005E+06
-0.438016645597059E+06
-0.438016404704505E+06
-0.438016183146178E+06
-0.438016007605694E+06
-0.438015883380574E+06
-0.438015843538687E+06
-0.438015948322370E+06
-0.438016204590086E+06
-0.438016524988940E+06
-0.438016801931598E+06
-0.438016944789309E+06
-0.438016901937384E+06
-0.438016680399095E+06
-0.438016319867487E+06
-0.438015896139991E+06
-0.438015532592403E+06
-0.438015355332245E+06
-0.438015378168802E+06
-0.438015516173406E+06
-0.438015664513463E+06
-0.438015707982643E+06
-0.438015561244921E+06
-0.438015221019000E+06
-0.438014800666490E+06
-0.438014482381231E+06
-0.438014454390888E+06
-0.438014801776475E+06
-0.438015440920007E+06
-0.438016167638410E+06
-0.438016768655043E+06
-0.438017132732428E+06
-0.438017207772563E+06
-0.438017036046728E+06
-0.438016732523982E+06
-0.438016447029405E+06
-0.438016270315866E+06
-0.438016212658648E+06
-0.438016228805022E+06
-0.438016262839631E+06
-0.438016259821471E+06
-0.438016161559783E+06
-0.438015932717211E+06
-0.438015577120662E+06
-0.438015137849621E+06
-0.438014638177484E+06
-0.438014124168972E+06
-0.438013679497939E+06
-0.438013405053787E+06
-0.438013332063173E+06
-0.438013437732150E+06
-0.438013655665784E+06
-0.438013896109071E+06
-0.438014063676331E+06
-0.438014129017946E+06
-0.438014120047545E+06
-0.438014066317141E+06
-0.438013994461315E+06
-0.438013966434604E+06
-0.438014073232525E+06
-0.438014342523109E+06
-0.438014715433288E+06
-0.438015079710907E+06
-0.438015328238364E+06
-0.438015416492771E+06
-0.438015322930156E+06
-0.438015037272581E+06
-0.438014614621670E+06
-0.438014177821309E+06
-0.438013882602138E+06
-0.438013853962158E+06
-0.438014143462270E+06
-0.438014691378935E+06
-0.438015327492702E+06
-0.438015844732173E+06
-0.438016116776366E+06
-0.438016127725948E+06
-0.438015986628292E+06
-0.438015846615157E+06
-0.438015760271306E+06
-0.438015694101732E+06
-0.438015621810797E+06
-0.438015578296490E+06
-0.438015620234106E+06
-0.438015779240563E+06
-0.438016004193435E+06
-0.438016161691898E+06
-0.438016219259694E+06
-0.438016309153995E+06
-0.438016441190239E+06
-0.438016465798075E+06
-0.438016305459765E+06
-0.438015993879857E+06
-0.438015602889532E+06
-0.438015223349685E+06
-0.438014963034451E+06
-0.438014875822925E+06
-0.438014909023948E+06
-0.438014930695906E+06
-0.438014827487393E+06
-0.438014575937232E+06
-0.438014331251409E+06
-0.438014236043847E+06
-0.438014278329942E+06
-0.438014461249048E+06
-0.438014812542662E+06
-0.438015277687101E+06
-0.438015767313430E+06
-0.438016179563072E+06
-0.438016414482604E+06
-0.438016414197724E+06
-0.438016193538575E+06
-0.438015831380099E+06
-0.438015383508439E+06
-0.438014973290148E+06
-0.438014687824278E+06
-0.438014468317635E+06
-0.438014227726148E+06
-0.438013947239163E+06
-0.438013663298763E+06
-0.438013452999090E+06
-0.438013421259889E+06
-0.438013655183491E+06
-0.438014129222356E+06
-0.438014672610023E+06
-0.438015087548705E+06
-0.438015289899893E+06
-0.438015416496680E+06
-0.438015558067498E+06
-0.438015571298091E+06
-0.438015371340668E+06
-0.438015139537633E+06
-0.438015134804211E+06
-0.438015407766127E+06
-0.438015709861146E+06
-0.438015738575899E+06
-0.438015395213453E+06
-0.438014865042155E+06
-0.438014323860202E+06
-0.438013743334792E+06
-0.438013124495465E+06
-0.438012597280366E+06
-0.438012291298447E+06
-0.438012278034281E+06
-0.438012523417131E+06
-0.438012911368345E+06
-0.438013290250235E+06
-0.438013559581896E+06
-0.438013705556752E+06
-0.438013843992296E+06
-0.438014097512338E+06
-0.438014423628625E+06
-0.438014679135158E+06
-0.438014831002043E+06
-0.438014959775380E+06
-0.438015124011501E+06
-0.438015301079191E+06
-0.438015400004353E+06
-0.438015334003663E+06
-0.438015102024018E+06
-0.438014833353471E+06
-0.438014756843165E+06
-0.438014980488818E+06
-0.438015351888391E+06
-0.438015638586011E+06
-0.438015769257187E+06
-0.438015757469161E+06
-0.438015679397422E+06
-0.438015621314124E+06
-0.438015633129546E+06
-0.438015665521982E+06
-0.438015611938441E+06
-0.438015494248711E+06
-0.438015468536610E+06
-0.438015481019064E+06
-0.438015329315851E+06
-0.438014983567550E+06
-0.438014595876360E+06
-0.438014298871085E+06
-0.438014126920868E+06
-0.438013984282439E+06
-0.438013770554936E+06
-0.438013544317272E+06
-0.438013455066150E+06
-0.438013488821296E+06
-0.438013469452354E+06
-0.438013270132421E+06
-0.438012888532394E+06
-0.438012429537957E+06
-0.438012044909997E+06
-0.438011912795407E+06
-0.438012130932581E+06
-0.438012674836708E+06
-0.438013420388255E+06
-0.438014208709001E+06
-0.438014928530137E+06
-0.438015487055275E+06
-0.438015776574677E+06
-0.438015750782401E+06
-0.438015442791434E+06
-0.438015038291054E+06
-0.438014731567344E+06
-0.438014569587615E+06
-0.438014538015592E+06
-0.438014628115595E+06
-0.438014792536663E+06
-0.438014944454218E+06
-0.438015001863990E+06
-0.438014945646977E+06
-0.438014807484871E+06
-0.438014608558288E+06
-0.438014393242165E+06
-0.438014191071326E+06
-0.438013993719375E+06
-0.438013819740996E+06
-0.438013730475873E+06
-0.438013775431420E+06
-0.438014005718188E+06
-0.438014375260124E+06
-0.438014766471540E+06
-0.438015027719933E+06
-0.438015097599655E+06
-0.438014984689667E+06
-0.438014720614426E+06
-0.438014308209648E+06
-0.438013810543428E+06
-0.438013329458870E+06
-0.438012964104349E+06
-0.438012723436634E+06
-0.438012553966643E+06
-0.438012405250317E+06
-0.438012267427530E+06
-0.438012142127784E+06
-0.438012031180957E+06
-0.438011918435485E+06
-0.438011795737358E+06
-0.438011664610414E+06
-0.438011531553832E+06
-0.438011398893388E+06
-0.438011282359671E+06
-0.438011209174846E+06
-0.438011211618275E+06
-0.438011298241726E+06
-0.438011432752964E+06
-0.438011566964539E+06
-0.438011700967626E+06
-0.438011883275893E+06
-0.438012180814009E+06
-0.438012627481095E+06
-0.438013184671905E+06
-0.438013737253228E+06
-0.438014160567161E+06
-0.438014381751449E+06
-0.438014357263410E+06
